Aubnetid,FiscalCycle,Physician Name,Department,ClinicVisits,ClinicWaitingTime,PatientComplaints,ContractEffectiveDate,complaints_outlier_high,top10_complaints
PHYS_738254be9bf6,Cycle 2024-2025,PHYS_738254be9bf6,Orthodontics,2512.0,364.53,,2011-07-01,False,False
PHYS_155ddef11442,Cycle 2024-2025,PHYS_155ddef11442,Psychiatry,965.0,51.69,,2022-09-20,False,False
PHYS_3c48cb2e4643,Cycle 2024-2025,PHYS_3c48cb2e4643,Orthopaedic Surgery,763.0,15.5,,,False,False
PHYS_ec334b6ce571,Cycle 2024-2025,PHYS_ec334b6ce571,Urology,1318.0,46.99,,2011-07-01,False,False
PHYS_72576b499f11,Cycle 2024-2025,PHYS_72576b499f11,Urology,2654.0,38.31,2.0,2011-07-01,False,False
PHYS_ec2a009b0fc7,Cycle 2024-2025,PHYS_ec2a009b0fc7,Vascular Surgery,731.0,90.08,,2021-11-09,False,False
PHYS_4b557f2781cb,Cycle 2024-2025,PHYS_4b557f2781cb,Neurology,3313.0,55.84,1.0,2011-07-01,False,False
PHYS_56a6b961f2f5,Cycle 2024-2025,PHYS_56a6b961f2f5,Vascular Surgery,230.0,40.5,,2011-07-01,False,False
PHYS_d83d142152e6,Cycle 2024-2025,PHYS_d83d142152e6,General Internal Medicine and Geriatrics,90.0,48.89,2.0,2018-06-14,False,False
PHYS_8f05f1a538fb,Cycle 2024-2025,PHYS_8f05f1a538fb,Family Medicine,2387.0,28.76,,2011-07-01,False,False
PHYS_44aa26beae78,Cycle 2024-2025,PHYS_44aa26beae78,Corneal/Refractive Surgery,3994.0,89.72,,2011-07-01,False,False
PHYS_c2db76459ce1,Cycle 2024-2025,PHYS_c2db76459ce1,Obstetrics and Gynecology,69.0,,,2016-04-15,False,False
PHYS_f1e37c991380,Cycle 2024-2025,PHYS_f1e37c991380,Pediatric Surgery Service,636.0,80.15,1.0,2011-07-01,False,False
PHYS_0c1628118176,Cycle 2024-2025,PHYS_0c1628118176,Cardiology,1487.0,18.6,,2011-07-01,False,False
PHYS_cba2ea3a0d88,Cycle 2024-2025,PHYS_cba2ea3a0d88,Cardiology,953.0,19.23,,2011-07-01,False,False
PHYS_f940253b51c8,Cycle 2024-2025,PHYS_f940253b51c8,Family Medicine,1811.0,25.09,,2011-07-01,False,False
PHYS_7f033bc1f792,Cycle 2024-2025,PHYS_7f033bc1f792,General Surgery,1229.0,31.68,1.0,2012-11-01,False,False
PHYS_08e98486b3ce,Cycle 2024-2025,PHYS_08e98486b3ce,General Surgery,2376.0,61.41,3.0,2015-03-05,False,True
PHYS_a7c9ab176f48,Cycle 2024-2025,PHYS_a7c9ab176f48,Neurology,1398.0,41.2,,2011-07-01,False,False
PHYS_e93cd54eccca,Cycle 2024-2025,PHYS_e93cd54eccca,Orthodontics,355.0,,,2011-07-01,False,False
PHYS_f865b2d06c16,Cycle 2024-2025,PHYS_f865b2d06c16,Family Medicine,1594.0,44.33,,2011-07-01,False,False
PHYS_63c6c95d0a19,Cycle 2024-2025,PHYS_63c6c95d0a19,Infectious Diseases,974.0,45.96,,2011-07-01,False,False
PHYS_60db5fc5790a,Cycle 2024-2025,PHYS_60db5fc5790a,Pediatric Infectious Diseases,9.0,23.33,,2023-09-12,False,False
PHYS_e1fe1dc0cc98,Cycle 2024-2025,PHYS_e1fe1dc0cc98,Pediatric Neurology,395.0,49.76,,2022-05-10,False,False
PHYS_11bed525f8a2,Cycle 2024-2025,PHYS_11bed525f8a2,Neurology,595.0,12.45,,2011-07-01,False,False
PHYS_1688b5a58eea,Cycle 2024-2025,PHYS_1688b5a58eea,Orthopaedic Surgery,,,1.0,2011-07-01,False,False
PHYS_59abdc77e246,Cycle 2024-2025,PHYS_59abdc77e246,Pediatric Hematology-Oncology,454.0,129.81,,2011-07-01,False,False
PHYS_d8ccf1500bf7,Cycle 2024-2025,PHYS_d8ccf1500bf7,Family Medicine,713.0,52.51,1.0,2011-07-01,False,False
PHYS_a94e0cb739e1,Cycle 2024-2025,PHYS_a94e0cb739e1,Nephrology,2233.0,42.55,,2011-07-01,False,False
PHYS_87cc0360be48,Cycle 2024-2025,PHYS_87cc0360be48,Pediatric Pulmonology,,21.31,,2011-07-01,False,False
PHYS_f86cd3aa057e,Cycle 2024-2025,PHYS_f86cd3aa057e,General Surgery,64.0,43.08,,2021-04-13,False,False
PHYS_88588d0b818d,Cycle 2024-2025,PHYS_88588d0b818d,Orthopaedic Surgery,4222.0,44.28,1.0,2011-07-01,False,False
PHYS_cc70341eaeea,Cycle 2024-2025,PHYS_cc70341eaeea,Pediatric Nephrology,,32.16,,2011-07-01,False,False
PHYS_af8e43e0ecda,Cycle 2024-2025,PHYS_af8e43e0ecda,Hematology-Oncology,1753.0,49.55,1.0,2011-07-01,False,False
PHYS_2ea5bacd1678,Cycle 2024-2025,PHYS_2ea5bacd1678,Pulmonary and Critical Care,1037.0,19.53,,2011-07-01,False,False
PHYS_77649ca0900b,Cycle 2024-2025,PHYS_77649ca0900b,Obstetrics and Gynecology,689.0,27.37,,2011-07-01,False,False
PHYS_8cabd5ddd3a8,Cycle 2024-2025,PHYS_8cabd5ddd3a8,Radiation Oncology,641.0,46.56,,2011-07-01,False,False
PHYS_37ab8eeca1e5,Cycle 2024-2025,PHYS_37ab8eeca1e5,Neurology,1070.0,50.07,,2022-07-01,False,False
PHYS_724a08299859,Cycle 2024-2025,PHYS_724a08299859,Neurosurgery,42.0,65.75,,2018-07-01,False,False
PHYS_0b154e62147a,Cycle 2024-2025,PHYS_0b154e62147a,Family Medicine,1198.0,64.46,,2011-07-01,False,False
PHYS_f04503b55ed4,Cycle 2024-2025,PHYS_f04503b55ed4,Oculoplastics/Orbital/Lacrimal surgery,182.0,20.98,,2015-10-13,False,False
PHYS_f04503b55ed4,Cycle 2024-2025,PHYS_f04503b55ed4,Ophthalmology,26.0,26.2,,,False,False
PHYS_614bab004c69,Cycle 2024-2025,PHYS_614bab004c69,Family Medicine,2435.0,43.43,2.0,2011-07-01,False,False
PHYS_183de6ed35cf,Cycle 2024-2025,PHYS_183de6ed35cf,Family Medicine,1218.0,27.4,1.0,2014-11-11,False,False
PHYS_2dd4c5aa0461,Cycle 2024-2025,PHYS_2dd4c5aa0461,Vitreo-Retinal surgery,2832.0,78.47,,2019-09-01,False,False
PHYS_55de23dce1a6,Cycle 2024-2025,PHYS_55de23dce1a6,Nephrology,3795.0,26.9,1.0,2011-07-01,False,False
PHYS_ded69ffc7130,Cycle 2024-2025,PHYS_ded69ffc7130,Neurology,1085.0,33.16,,2013-01-08,False,False
PHYS_f24b5ac4ffcc,Cycle 2024-2025,PHYS_f24b5ac4ffcc,Psychiatry,1779.0,50.36,,2017-10-18,False,False
PHYS_24a62be3fc23,Cycle 2024-2025,PHYS_24a62be3fc23,Plastic Surgery,774.0,62.83,5.0,2012-02-06,True,True
PHYS_a5515d805118,Cycle 2024-2025,PHYS_a5515d805118,Endocrinology and Metabolism,1482.0,54.21,,2024-07-01,False,False
PHYS_58f39c63da09,Cycle 2024-2025,PHYS_58f39c63da09,Cardiothoracic Surgery,10.0,6.0,,2021-11-09,False,False
PHYS_149fefab32b4,Cycle 2024-2025,PHYS_149fefab32b4,General Surgery,198.0,27.96,,2024-07-09,False,False
PHYS_e74ee551fa09,Cycle 2024-2025,PHYS_e74ee551fa09,Gastroenterology,777.0,45.37,1.0,2015-05-21,False,False
PHYS_c367fab96ca6,Cycle 2024-2025,PHYS_c367fab96ca6,Radiation Oncology,703.0,59.79,,2018-04-12,False,False
PHYS_ac7336a02460,Cycle 2024-2025,PHYS_ac7336a02460,Vitreo-Retinal surgery,3360.0,103.65,,2011-07-01,False,False
PHYS_74310b196617,Cycle 2024-2025,PHYS_74310b196617,Pediatric Cardiology,532.0,67.56,,2015-10-02,False,False
PHYS_0c6a6d8731d5,Cycle 2024-2025,PHYS_0c6a6d8731d5,Neurology,42.0,20.63,,2023-05-09,False,False
PHYS_7d4639603244,Cycle 2024-2025,PHYS_7d4639603244,Cardiology,628.0,34.86,,2011-07-01,False,False
PHYS_4358aa6d482d,Cycle 2024-2025,PHYS_4358aa6d482d,Infectious Diseases,273.0,81.19,1.0,2011-07-01,False,False
PHYS_fb27e93e1ed4,Cycle 2024-2025,PHYS_fb27e93e1ed4,Otorhinolaryngology - Head and Neck Surgery,3592.0,11.3,,2016-11-17,False,False
PHYS_173bbc0bcea0,Cycle 2024-2025,PHYS_173bbc0bcea0,Infectious Diseases,,,2.0,2011-07-01,False,False
